condition,clicked,framing_gain,framing_loss,framing_neutral,urgency_noturgent,urgency_urgent
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
gain-urgent,0,True,False,False,False,True
